GROUP,PACKAGE,CLASS,BRANCH_COVERED,LINE_COVERED, MUTATION,M_RANK,L_RANK,d,d^2,B_RANK,d,d^2
Apache Commons Collections,org.apache.commons.collections4.map,FixedSizeMap,2,20,54%,170,116,54,2916,157,13,169
Apache Commons Collections,org.apache.commons.collections4.map,AbstractOrderedMapDecorator,0,9,67%,151,188,-37,1369,196,-45,2025
Apache Commons Collections,org.apache.commons.collections4.map,PredicatedSortedMap,0,13,88%,85,160,-75,5625,196,-111,12321
Apache Commons Collections,org.apache.commons.collections4.map,PredicatedMap,16,32,83%,108,62,46,2116,57,51,2601
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap,42,113,0%,219,14,205,42025,22,197,38809
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableMap,2,22,58%,168,97,71,5041,157,11,121
Apache Commons Collections,org.apache.commons.collections4.map,CompositeMap,49,87,95%,66,19,47,2209,17,49,2401
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap,125,269,39%,186,7,179,32041,7,179,32041
Apache Commons Collections,org.apache.commons.collections4.map,TransformedMap,10,38,87%,93,50,43,1849,79,14,196
Apache Commons Collections,org.apache.commons.collections4.map,AbstractInputCheckedMapDecorator,2,7,43%,183,210,-27,729,157,26,676
Apache Commons Collections,org.apache.commons.collections4.map,LazySortedMap,0,16,89%,82,142,-60,3600,196,-114,12996
Apache Commons Collections,org.apache.commons.collections4.map,EntrySetToMapIteratorAdapter,2,18,70%,147,127,20,400,157,-10,100
Apache Commons Collections,org.apache.commons.collections4.map,PassiveExpiringMap,18,67,0%,219,30,189,35721,51,168,28224
Apache Commons Collections,org.apache.commons.collections4.map,HashedMap,0,15,40%,185,148,37,1369,196,-11,121
Apache Commons Collections,org.apache.commons.collections4.map,LRUMap,31,87,0%,219,19,200,40000,31,188,35344
Apache Commons Collections,org.apache.commons.collections4.map,MultiKeyMap,191,304,0%,219,5,214,45796,5,214,45796
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap,38,99,45%,181,17,164,26896,26,155,24025
Apache Commons Collections,org.apache.commons.collections4.map,FixedSizeSortedMap,2,21,0%,219,105,114,12996,157,62,3844
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map,226,328,0%,219,3,216,46656,2,217,47089
Apache Commons Collections,org.apache.commons.collections4.map,LinkedMap,4,21,7%,213,105,108,11664,125,88,7744
Apache Commons Collections,org.apache.commons.collections4.map,ReferenceMap,0,10,0%,219,183,36,1296,196,23,529
Apache Commons Collections,org.apache.commons.collections4.map,DefaultedMap,7,21,100%,1,105,-104,10816,101,-100,10000
Apache Commons Collections,org.apache.commons.collections4.map,AbstractMapDecorator,4,27,96%,64,75,-11,121,125,-61,3721
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap,63,121,0%,219,11,208,43264,14,205,42025
Apache Commons Collections,org.apache.commons.collections4.map,SingletonMap,15,50,0%,219,42,177,31329,62,157,24649
Apache Commons Collections,org.apache.commons.collections4.map,CaseInsensitiveMap,4,19,0%,219,121,98,9604,125,94,8836
Apache Commons Collections,org.apache.commons.collections4.map,AbstractIterableMap,0,2,0%,219,260,-41,1681,196,23,529
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap,40,72,29%,190,28,162,26244,23,167,27889
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableSortedMap,2,21,60%,162,105,57,3249,157,5,25
Apache Commons Collections,org.apache.commons.collections4.map,ReferenceIdentityMap,6,16,0%,219,142,77,5929,110,109,11881
Apache Commons Collections,org.apache.commons.collections4.map,AbstractSortedMapDecorator,0,8,7%,213,194,19,361,196,17,289
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap,39,86,91%,76,22,54,2916,24,52,2704
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableOrderedMap,2,24,70%,147,84,63,3969,157,-10,100
Apache Commons Collections,org.apache.commons.collections4.multimap,ArrayListValuedHashMap,0,16,14%,206,142,64,4096,196,10,100
Apache Commons Collections,org.apache.commons.collections4.multimap,TransformedMultiValuedMap,16,35,0%,219,55,164,26896,57,162,26244
Apache Commons Collections,org.apache.commons.collections4.multimap,HashSetValuedHashMap,0,13,0%,219,160,59,3481,196,23,529
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap,43,81,7%,213,25,188,35344,19,194,37636
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractListValuedMap,0,8,9%,210,194,16,256,196,14,196
Apache Commons Collections,org.apache.commons.collections4.multimap,UnmodifiableMultiValuedMap,2,13,20%,198,160,38,1444,157,41,1681
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractSetValuedMap,0,8,0%,219,194,25,625,196,23,529
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMapDecorator,4,26,6%,216,78,138,19044,125,91,8281
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableSet,2,14,75%,128,155,-27,729,157,-29,841
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableSortedSet,2,25,0%,219,81,138,19044,157,62,3844
Apache Commons Collections,org.apache.commons.collections4.set,MapBackedSet,9,32,100%,1,62,-61,3721,86,-85,7225
Apache Commons Collections,org.apache.commons.collections4.set,TransformedSet,7,12,89%,82,168,-86,7396,101,-19,361
Apache Commons Collections,org.apache.commons.collections4.set,AbstractSetDecorator,4,5,100%,1,230,-229,52441,125,-124,15376
Apache Commons Collections,org.apache.commons.collections4.set,AbstractNavigableSetDecorator,0,7,0%,219,210,9,81,196,23,529
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableNavigableSet,2,33,0%,219,60,159,25281,157,62,3844
Apache Commons Collections,org.apache.commons.collections4.set,AbstractSerializableSetDecorator,0,8,25%,193,194,-1,1,196,-3,9
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedSet,4,6,100%,1,220,-219,47961,125,-124,15376
Apache Commons Collections,org.apache.commons.collections4.set,CompositeSet,68,119,91%,76,13,63,3969,12,64,4096
Apache Commons Collections,org.apache.commons.collections4.set,ListOrderedSet,36,83,84%,105,24,81,6561,27,78,6084
Apache Commons Collections,org.apache.commons.collections4.set,TransformedSortedSet,0,12,0%,219,168,51,2601,196,23,529
Apache Commons Collections,org.apache.commons.collections4.set,AbstractSortedSetDecorator,0,6,0%,219,220,-1,1,196,23,529
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedNavigableSet,0,15,0%,219,148,71,5041,196,23,529
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedSortedSet,0,13,0%,219,160,59,3481,196,23,529
Apache Commons Collections,org.apache.commons.collections4.set,TransformedNavigableSet,0,15,0%,219,148,71,5041,196,23,529
Apache Commons Collections,org.apache.commons.collections4.iterators,EnumerationIterator,0,10,50%,173,183,-10,100,196,-23,529
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorChain,14,43,59%,167,45,122,14884,64,103,10609
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyMapIterator,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.iterators,SingletonIterator,14,22,100%,1,97,-96,9216,64,-63,3969
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectArrayIterator,12,27,88%,85,75,10,100,72,13,169
Apache Commons Collections,org.apache.commons.collections4.iterators,FilterIterator,13,32,86%,96,62,34,1156,68,28,784
Apache Commons Collections,org.apache.commons.collections4.iterators,SkippingIterator,8,17,100%,1,133,-132,17424,92,-91,8281
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorIterable,5,12,90%,79,168,-89,7921,122,-43,1849
Apache Commons Collections,org.apache.commons.collections4.iterators,ReverseListIterator,6,31,100%,1,66,-65,4225,110,-109,11881
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractListIteratorDecorator,1,17,92%,71,133,-62,3844,192,-121,14641
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyIterator,0,6,100%,1,220,-219,47961,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractUntypedIteratorDecorator,1,8,100%,1,194,-193,37249,192,-191,36481
Apache Commons Collections,org.apache.commons.collections4.iterators,TransformIterator,0,9,71%,138,188,-50,2500,196,-58,3364
Apache Commons Collections,org.apache.commons.collections4.iterators,ArrayListIterator,8,25,100%,1,81,-80,6400,92,-91,8281
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableOrderedMapIterator,4,17,100%,1,133,-132,17424,125,-124,15376
Apache Commons Collections,org.apache.commons.collections4.iterators,LoopingIterator,8,17,100%,1,133,-132,17424,92,-91,8281
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyOrderedMapIterator,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.iterators,NodeListIterator,9,15,100%,1,148,-147,21609,86,-85,7225
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractIteratorDecorator,0,3,100%,1,256,-255,65025,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectGraphIterator,30,56,100%,1,37,-36,1296,32,-31,961
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableIterator,4,12,100%,1,168,-167,27889,125,-124,15376
Apache Commons Collections,org.apache.commons.collections4.iterators,LazyIteratorChain,12,28,100%,1,70,-69,4761,72,-71,5041
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractMapIteratorDecorator,0,0,0%,219,264,-45,2025,196,23,529
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractOrderedMapIteratorDecorator,0,0,0%,219,264,-45,2025,196,23,529
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableListIterator,4,18,100%,1,127,-126,15876,125,-124,15376
Apache Commons Collections,org.apache.commons.collections4.iterators,LoopingListIterator,21,39,96%,64,49,15,225,44,20,400
Apache Commons Collections,org.apache.commons.collections4.iterators,BoundedIterator,17,31,100%,1,66,-65,4225,53,-52,2704
Apache Commons Collections,org.apache.commons.collections4.iterators,PeekingIterator,23,35,87%,93,55,38,1444,42,51,2601
Apache Commons Collections,org.apache.commons.collections4.iterators,SingletonListIterator,26,32,100%,1,62,-61,3721,37,-36,1296
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableMapIterator,4,15,100%,1,148,-147,21609,125,-124,15376
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyListIterator,0,5,50%,173,230,-57,3249,196,-23,529
Apache Commons Collections,org.apache.commons.collections4.iterators,FilterListIterator,30,58,88%,85,34,51,2601,32,53,2809
Apache Commons Collections,org.apache.commons.collections4.iterators,CollatingIterator,39,87,77%,126,19,107,11449,24,102,10404
Apache Commons Collections,org.apache.commons.collections4.iterators,ZippingIterator,13,34,100%,1,58,-57,3249,68,-67,4489
Apache Commons Collections,org.apache.commons.collections4.iterators,PermutationIterator,34,45,89%,82,43,39,1521,29,53,2809
Apache Commons Collections,org.apache.commons.collections4.iterators,PushbackIterator,7,12,90%,79,168,-89,7921,101,-22,484
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorEnumeration,0,6,100%,1,220,-219,47961,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.iterators,EntrySetMapIterator,0,0,0%,219,264,-45,2025,196,23,529
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyOrderedIterator,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.iterators,ArrayIterator,10,28,82%,114,70,44,1936,79,35,1225
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractEmptyIterator,0,12,100%,1,168,-167,27889,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.iterators,ListIteratorWrapper,32,61,90%,79,33,46,2116,30,49,2401
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectArrayListIterator,8,23,94%,68,92,-24,576,92,-24,576
Apache Commons Collections,org.apache.commons.collections4,PredicateUtils,0,26,83%,108,78,30,900,196,-88,7744
Apache Commons Collections,org.apache.commons.collections4,EnumerationUtils,6,13,88%,85,160,-75,5625,110,-25,625
Apache Commons Collections,org.apache.commons.collections4,BagUtils,0,11,73%,134,178,-44,1936,196,-62,3844
Apache Commons Collections,org.apache.commons.collections4,SetUtils,35,43,73%,134,45,89,7921,28,106,11236
Apache Commons Collections,org.apache.commons.collections4,ComparatorUtils,14,25,81%,117,81,36,1296,64,53,2809
Apache Commons Collections,org.apache.commons.collections4,FluentIterable,4,45,100%,1,43,-42,1764,125,-124,15376
Apache Commons Collections,org.apache.commons.collections4,IteratorUtils,100,168,78%,123,9,114,12996,8,115,13225
Apache Commons Collections,org.apache.commons.collections4,ClosureUtils,4,28,100%,1,70,-69,4761,125,-124,15376
Apache Commons Collections,org.apache.commons.collections4,ArrayUtils,9,9,53%,171,188,-17,289,86,85,7225
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils,7,8,48%,180,194,-14,196,101,79,6241
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils,250,337,88%,85,2,83,6889,1,84,7056
Apache Commons Collections,org.apache.commons.collections4,MultiMapUtils,16,22,63%,156,97,59,3481,57,99,9801
Apache Commons Collections,org.apache.commons.collections4,TrieUtils,0,1,100%,1,263,-262,68644,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4,IterableUtils,59,120,84%,105,12,93,8649,15,90,8100
Apache Commons Collections,org.apache.commons.collections4,ArrayStack,10,24,0%,219,84,135,18225,79,140,19600
Apache Commons Collections,org.apache.commons.collections4,FactoryUtils,0,6,100%,1,220,-219,47961,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4,MapUtils,178,285,87%,93,6,87,7569,6,87,7569
Apache Commons Collections,org.apache.commons.collections4,ListUtils,66,91,81%,117,18,99,9801,13,104,10816
Apache Commons Collections,org.apache.commons.collections4,QueueUtils,0,6,100%,1,220,-219,47961,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4,MultiSetUtils,0,6,100%,1,220,-219,47961,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4,TransformerUtils,4,34,100%,1,58,-57,3249,125,-124,15376
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSetDecorator,4,6,18%,202,220,-18,324,125,77,5929
Apache Commons Collections,org.apache.commons.collections4.multiset,HashMultiSet,0,12,0%,219,168,51,2601,196,23,529
Apache Commons Collections,org.apache.commons.collections4.multiset,SynchronizedMultiSet,2,22,23%,196,97,99,9801,157,39,1521
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet,43,102,17%,203,15,188,35344,19,184,33856
Apache Commons Collections,org.apache.commons.collections4.multiset,PredicatedMultiSet,4,12,21%,197,168,29,841,125,72,5184
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet,19,33,0%,219,60,159,25281,47,172,29584
Apache Commons Collections,org.apache.commons.collections4.multiset,UnmodifiableMultiSet,2,22,20%,198,97,101,10201,157,41,1681
Apache Commons Collections,org.apache.commons.collections4.queue,SynchronizedQueue,2,20,8%,211,116,95,9025,157,54,2916
Apache Commons Collections,org.apache.commons.collections4.queue,AbstractQueueDecorator,0,4,29%,190,236,-46,2116,196,-6,36
Apache Commons Collections,org.apache.commons.collections4.queue,TransformedQueue,3,16,83%,108,142,-34,1156,154,-46,2116
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue,44,86,91%,76,22,54,2916,18,58,3364
Apache Commons Collections,org.apache.commons.collections4.queue,PredicatedQueue,0,10,78%,123,183,-60,3600,196,-73,5329
Apache Commons Collections,org.apache.commons.collections4.queue,UnmodifiableQueue,2,21,63%,156,105,51,2601,157,-1,1
,,,,,,,,,,,,
,,,,,,,,sum of d^2,3844909,,sum of d^2,2966270
,,,,,,,,numerator,23069454,,numerator,17797620
,,,,,,,,,,,,
,,,,,,,,n,267,,n,267
,,,,,,,,n^3,19034163,,n^3,19034163
,,,,,,,,denominator,19033896,,denominator,19033896
,,,,,,,,,,,,
,,,,,,,,r,-0.212019547,,r,0.064951285