Issue Type;Issue key;Issue id;Summary;Assignee;Reporter;Priority;Status;Resolution;Created;Updated;Due Date
Bug;COLLECTIONS-577;12896510;PatriciaTrie bugs when only a few bits change;;veqryn;Critical;Closed;Duplicate;25/Sep/15 22:27;27/Nov/15 21:47;
Bug;COLLECTIONS-525;12713013;PatriciaTrie;;zigler;Critical;Closed;Fixed;08/May/14 04:38;27/Nov/15 21:11;
Bug;COLLECTIONS-526;12713014;PatriciaTrie;;zigler;Critical;Closed;Duplicate;08/May/14 04:38;08/May/14 06:04;
Bug;COLLECTIONS-580;12911300;Arbitrary remote code execution with InvokerTransformer;;marschall;Major;Closed;Fixed;07/Nov/15 13:28;24/Jul/19 18:56;
Bug;COLLECTIONS-514;12707636;NullPointerException in MapBackedSet.mapBackedSet;;Telcontar;Major;Closed;Invalid;10/Apr/14 04:31;27/Nov/15 21:47;
Bug;COLLECTIONS-579;12910338;PassiveExpiringMap doesn't work when the key is a byte array;;rabit;Major;Closed;Invalid;04/Nov/15 12:48;27/Nov/15 21:47;
Bug;COLLECTIONS-513;12707623;NullPointerException in SwitchTransformer.transform;;Telcontar;Major;Closed;Invalid;10/Apr/14 02:00;27/Nov/15 21:47;
Bug;COLLECTIONS-515;12707637;ClassCastException in LazySortedMap when used with equals/transformers;;Telcontar;Major;Closed;Invalid;10/Apr/14 04:36;27/Nov/15 21:47;
Bug;COLLECTIONS-543;12765478;AbstractCollectionDecorator should not delegate equals and hashcode;;tn;Major;Closed;Fixed;07/Jan/15 22:05;27/Nov/15 21:11;
Bug;COLLECTIONS-506;12686070;Result of CollectionUtils are different between version 3.2.1 and version 4.0;;anthonyC;Major;Closed;Fixed;22/Dec/13 19:13;27/Nov/15 21:11;
Bug;COLLECTIONS-516;12707638;NullPointerException in MapUtils.toProperties;;Telcontar;Major;Closed;Fixed;10/Apr/14 04:39;27/Nov/15 21:11;
Bug;COLLECTIONS-566;12835517;IteratorUtils.collatedIterator do not use natural ordering if no comparator was provided;;tn;Major;Closed;Fixed;04/Jun/15 20:19;27/Nov/15 21:11;
Bug;COLLECTIONS-537;12755049;"PredicateUtils (all|any)Predicate type misbehaviour Array vs. Collection";;fj;Major;Closed;Fixed;13/Nov/14 12:47;27/Nov/15 21:11;
Bug;COLLECTIONS-507;12694830;ComparatorUtils.chainedComparator(..) should not force the objects to implement Comparable;;gersonk;Major;Closed;Fixed;12/Feb/14 20:29;27/Nov/15 21:11;
Bug;COLLECTIONS-553;12775398;TransformedMultiValuedMap.equals() fails when comparing the value with itself;;mjkim0324;Major;Closed;Fixed;16/Feb/15 16:09;27/Nov/15 21:11;
Bug;COLLECTIONS-558;12785536;ListOrderedSet#remove(int) should return E instead of Object;;frabe;Major;Closed;Fixed;25/Mar/15 14:46;27/Nov/15 21:11;
Bug;COLLECTIONS-509;12699628;Clarify javadoc of CollectionBag;;tn;Major;Closed;Fixed;08/Mar/14 18:45;27/Nov/15 21:11;
Bug;COLLECTIONS-512;12707621;equals/hashCode mismatch;;Telcontar;Major;Closed;Fixed;10/Apr/14 01:56;27/Nov/15 21:11;
Bug;COLLECTIONS-576;12861500;MultiKey subclassing has deserialization problem since COLLECTIONS-266: either declare protected readResolve() or MultiKey must be final;;stephanroch;Major;Closed;Fixed;03/Sep/15 08:44;27/Nov/15 21:11;
Bug;COLLECTIONS-534;12748417;Performance bug in CollectionBag::retainAll;;oswaldo_o;Major;Closed;Fixed;15/Oct/14 21:01;27/Nov/15 21:11;
Bug;COLLECTIONS-524;12712470;ListOrderedSet can have duplicates;;jggoodfe;Major;Closed;Fixed;06/May/14 00:58;27/Nov/15 21:11;
Bug;COLLECTIONS-559;12787445;"Objects which are not of type V can be placed in a MultiValueMap<K,V>.";;peturingi;Major;Closed;Invalid;01/Apr/15 19:26;01/Apr/15 19:41;
Bug;COLLECTIONS-389;12537666;"Inconsistent Javadoc comment and code for mapTransformer(Map<? super I, ? extends O>) in org.apache.commons.collections.TransformerUtils";;shinhwei;Major;Closed;Fixed;08/Jan/12 08:31;09/Nov/14 14:31;
Bug;COLLECTIONS-391;12537668;"Inconsistent Javadoc comment and code for toProperties(final Map<K, V>) in org.apache.commons.collections.MapUtils";;shinhwei;Major;Closed;Fixed;08/Jan/12 08:38;09/Nov/14 14:31;
Bug;COLLECTIONS-474;12654559;Exception in ListOrderedMap#putAll if map contains null values;;cning;Major;Closed;Fixed;24/Jun/13 18:22;09/Nov/14 14:31;
Bug;COLLECTIONS-388;12537665;Inconsistent Javadoc comment and code for prototypeFactory(T) in org.apache.commons.collections.FactoryUtils;;shinhwei;Major;Closed;Fixed;08/Jan/12 08:29;09/Nov/14 14:31;
Bug;COLLECTIONS-390;12537667;"Inconsistent Javadoc comment and code for mapTransformer(Map<? super I, ? extends O>) in org.apache.commons.collections.TransformerUtils";;shinhwei;Major;Closed;Duplicate;08/Jan/12 08:31;24/Jun/13 19:34;
Bug;COLLECTIONS-592;12980680;Deletions/insertions get lost in the ReplacementsFinder if they're at the end of the compared sequences;;Unda;Minor;Open;;19/Jun/16 22:19;20/Jun/16 07:31;
Bug;COLLECTIONS-547;12769111;Performance issue in SetUtils::isEqualSet;;oswaldo_o;Minor;Closed;Not A Problem;21/Jan/15 21:10;27/Nov/15 21:47;
Bug;COLLECTIONS-548;12769127;Performance issue in CompositeCollection::retainAll;;oswaldo_o;Minor;Closed;Won't Fix;21/Jan/15 21:50;27/Nov/15 21:47;
Bug;COLLECTIONS-531;12716766;"Generic Wildcards specified in CollectionUtils#isEqualCollection(Collection, Collection, Equator) may throw ClassCastException in certain cases";;dipanjan21;Minor;Closed;Fixed;27/May/14 10:13;27/Nov/15 21:11;
Bug;COLLECTIONS-570;12839496;All decorators shall throw a NullPointerException if the decorated argument is null;;tn;Minor;Closed;Fixed;22/Jun/15 09:50;27/Nov/15 21:11;
Bug;COLLECTIONS-518;12708186;AbstractIterableGetMapDecorator should be abstract;;dipanjan21;Minor;Reopened;;14/Apr/14 05:36;31/May/15 18:52;
Bug;COLLECTIONS-504;12682510;CompositeMap should support compositing of maps of derived types;;petercooperjr-efi;Minor;Closed;Invalid;03/Dec/13 20:33;04/Dec/13 15:32;
Bug;COLLECTIONS-597;13013873;Correction of Javadoc for org.apache.commons.collections4.functors.CatchAndRethrowClosure;ggregory;sadguten;Trivial;Resolved;Fixed;20/Oct/16 13:47;21/Oct/16 05:53;
Bug;COLLECTIONS-545;12766770;Undocumented performance issue in the removeAll method in CollectionUtils;;oswaldo_o;Trivial;Closed;Fixed;12/Jan/15 06:04;27/Nov/15 21:11;
Bug;COLLECTIONS-536;12751294;(Code style) map.size() call in MapUtils.putAll();;lany;Trivial;Closed;Fixed;29/Oct/14 02:58;27/Nov/15 21:11;
